no,x,y,eet,et,lt,llt,d1,d,d2,st,mark
0,22,31,0,0,0,0,0,0,0,0,0
1,5,31,0,0,0,0,0,0,0,0,0
2,-35,8,0,0,0,0,0,0,0,0,0
3,-29,-22,0,0,0,0,0,0,0,0,0
1,-8,-31,0,0,0,0,0,0,0,0,0
2,18,-25,0,0,0,0,0,0,0,0,0
4,4,23,0,0,0,0,0,0,0,10,1
5,-21,2,0,0,0,0,0,0,0,10,1
6,-7,-20,0,0,0,0,0,0,0,10,1
7,20,-12,0,0,0,0,0,0,0,10,1
8,6,12,150,178,213,241,4,10,16,10,2
9,-5,11,24,45,72,93,4,10,16,10,2
10,-3,-7,61,90,115,144,5,10,15,10,2
11,7,-7,164,192,231,259,16,20,24,10,2
12,-22,-19,147,167,201,221,15,20,25,10,2
13,13,-12,170,196,228,254,4,10,16,10,2
14,-6,-3,169,191,215,237,6,10,14,10,2
15,1,-8,221,243,279,301,5,10,15,10,2
16,-4,8,195,216,253,274,16,20,24,10,2
17,0,0,227,254,292,319,5,10,15,10,2
18,-14,23,142,169,192,219,16,20,24,10,2
19,-7,-5,33,59,82,108,14,20,26,10,2
20,-6,16,223,246,282,305,16,20,24,10,2
21,-13,18,105,133,164,192,15,20,25,10,2
22,0,-2,160,181,211,232,15,20,25,10,2
23,-2,29,222,243,263,284,6,10,14,10,2
24,-14,-2,9,31,62,84,6,10,14,10,2
25,-2,-11,62,90,130,158,16,20,24,10,2
26,2,-5,55,77,106,128,4,10,16,10,2
27,26,8,7,27,49,69,15,20,25,10,2
28,-8,-14,60,80,105,125,4,10,16,10,2
29,-6,-2,144,170,205,231,15,20,25,10,2
30,16,-5,25,47,85,107,15,20,25,10,2
31,-1,-2,48,68,99,119,14,20,26,10,2
32,0,5,94,123,155,184,4,10,16,10,2
33,8,6,102,127,155,180,5,10,15,10,2
34,-1,-16,41,64,98,121,14,20,26,10,2
35,15,20,200,223,243,266,5,10,15,10,2
36,-22,18,208,237,266,295,16,20,24,10,2
37,0,0,49,78,99,128,16,20,24,10,2
